city_name,left_long,bottom_lat,right_long,top_lat,start_lat,start_long,stop_lat,stop_long,condition
Cologne,6.939337,50.934840,6.959860,50.942727,50.942933,6.957385,50.935171,6.943062,difficult
Paris,2.295252,48.867417,2.324748,48.878047,48.878796,2.322611,48.869046,2.300871,easy
New Delhi,77.209382,28.624239,77.228328,28.643435,28.642422,77.219051,28.626119,77.218006,easy
Florence,11.245190,43.766287,11.265870,43.776450,43.776090,11.248222,43.766612,11.263298,difficult
Thessaloniki,22.926307,40.641083,22.948090,40.650277,40.644107,22.929309,40.648288,22.945726,difficult
Prague,14.413312,50.080575,14.435970,50.090467,50.083298,14.434985,50.087774,14.414483,difficult
New York,-73.982925,40.751587,-73.955560,40.763362,40.753821,-73.978540,40.758359,-73.963101,easy
Seville,-5.995536,37.382946,-5.975120,37.392199,37.391547,-5.975840,37.386541,-5.994691,difficult
Washington DC,-77.010091,38.887210,-76.986862,38.900121,38.898153,-77.005861,38.888669,-76.990941,easy
Toronto,-79.382892,43.644483,-79.359095,43.654514,43.645483,-79.380737,43.653684,-79.360924,easy
